Round,Multi-Hop (DC-MHRM + Q-Learning),Single-Hop (Baseline Placeholder)
531,225.3923894053413,-15865.823850724513
532,224.94468957068827,-15902.721115493643
533,224.50007729499205,-15939.61838026277
534,224.05493917714682,-15976.515645031895
535,223.61213543426345,-16013.412909801022
536,223.17180545826903,-16050.31017457015
537,222.7415780798274,-16087.207439339276
538,222.3150865413371,-16124.104704108402
539,221.89028950202214,-16161.001968877528
540,221.46366716684102,-16197.899233646654
541,221.0407328879806,-16234.796498415784
542,220.62063870235733,-16271.693763184909
543,220.20008586085567,-16308.591027954035
544,219.78043225107564,-16345.488292723161
545,219.36046295095414,-16382.38555749229
546,218.94326299593533,-16419.282822261415
547,218.52196572894348,-16456.18008703054
548,218.1048311399925,-16493.077351799668
549,217.6905542748827,-16529.974616568798
550,217.27883980749334,-16566.871881337924
551,216.87360959946147,-16603.76914610705
552,216.47459272362104,-16640.666410876176
553,216.07569142462702,-16677.563675645306
554,215.67695842808928,-16714.460940414432
555,215.2896383230049,-16751.35820518356
556,214.90390849012667,-16788.255469952685
557,214.51830044690428,-16825.15273472181
558,214.13897804952268,-16862.049999490937
559,213.75657634872297,-16898.947264260063
560,213.3860861753053,-16935.84452902919
561,213.01606767917906,-16972.74179379832
562,212.6464528618032,-17009.639058567445
563,212.27921062549888,-17046.53632333657
564,211.91224077803207,-17083.433588105698
565,211.55069849574593,-17120.330852874824
566,211.1868508912684,-17157.228117643954
567,210.8231541669415,-17194.12538241308
568,210.46148058794995,-17231.022647182206
569,210.09763273110144,-17267.919911951332
570,209.73599906635715,-17304.81717672046
571,209.37349110142839,-17341.714441489585
572,209.0170927324212,-17378.61170625871
573,208.6588220086026,-17415.508971027837
574,208.2991617311863,-17452.406235796967
575,207.9436339204414,-17489.303500566093
576,207.58542530886155,-17526.20076533522
577,207.231282342493,-17563.098030104346
578,206.87821576065556,-17599.995294873475
579,206.53059872235977,-17636.8925596426
580,206.178828851974,-17673.789824411728
581,205.82866787723094,-17710.687089180854
582,205.47971325740366,-17747.58435394998
583,205.13209892875096,-17784.481618719106
584,204.78384928135145,-17821.378883488233
585,204.4378280934793,-17858.27614825736
586,204.0948739648051,-17895.17341302649
587,203.7512186512701,-17932.070677795615
588,203.40767539948286,-17968.96794256474
589,203.0641726377886,-18005.865207333867
590,202.71845337379116,-18042.762472102993
591,202.37483010163862,-18079.659736872123
592,202.03400245981052,-18116.55700164125
593,201.6946370573766,-18153.454266410376
594,201.35434776710315,-18190.3515311795
595,201.02128430746015,-18227.248795948628
596,200.69210493002578,-18264.146060717754
597,200.36117703181432,-18301.04332548688
598,200.0337137437707,-18337.940590256007
599,199.70466559135562,-18374.837855025136
600,199.37984853020419,-18411.735119794263
601,199.06023347605142,-18448.63238456339
602,198.7418342897889,-18485.529649332515
603,198.4221630868645,-18522.426914101645
604,198.10455040824922,-18559.32417887077
605,197.78706898484464,-18596.221443639897
606,197.46996124331497,-18633.118708409023
607,197.1513283151635,-18670.01597317815
608,196.83284140372322,-18706.913237947276
609,196.5143012305515,-18743.810502716402
610,196.1957164619629,-18780.707767485528
